Pintu Masuk,,,,,,,,,,,,
,"Jumlah Kunjungan Wisatawan Mancanegara per bulan ke Indonesia Menurut Pintu Masuk, 2008 - 2017 (Kunjungan)",,,,,,,,,,,
,2015,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
Soekarno-Hatta,165746,170741,203019,159873,189307,174319,175347,252914,212706,197487,216517,186299
Ngurah Rai,288755,333072,294758,309888,287141,357712,381890,298638,379397,366759,262180,363780
Kualanamu,17286,18082,17491,15167,17558,15479,15879,16490,14857,14160,16203,19166
Batam,114478,119642,124019,125816,148920,132569,109931,134540,117089,123750,124983,170081
Sam Ratulangi,2248,3374,1171,1044,1011,1007,2089,2247,1410,1297,1428,1139
Juanda,15366,14003,16338,16063,17355,15004,17134,18311,18167,15798,20449,16863
Entikong,1265,1873,2440,1491,2424,1662,2573,1710,1693,1455,2513,3753
Adi Sumarmo,544,571,697,660,618,581,542,740,805,412,924,791
Minangkabau,2744,2876,3690,3106,3975,3008,2962,3685,3767,3349,4353,4815
Tanjung Priok,8340,6982,4456,5527,5342,4877,3951,5174,4515,4854,5763,4830
Tanjung Pinang,5774,8023,8053,7477,7772,7735,6521,7941,7095,6233,7589,10966
Bandara Internasional Lombok,2793,4348,6004,5725,5713,4410,5316,8089,7440,7419,4477,8483
Hasanuddin,906,931,1178,929,900,906,1194,1115,1343,961,1465,1263
Sepinggan,712,707,809,631,540,765,572,574,663,595,684,613
Sultan Syarif Kasim II,2606,2043,2300,2112,2503,1954,2660,2488,1752,462,2211,2286
Adi Sucipto,4614,5379,5799,5871,8152,5710,4852,6502,8479,7442,8568,9910
Husein Sastranegara,10373,13008,15130,16884,18902,15314,6619,10323,10531,10722,14858,16983
Tanjung Uban,20753,28977,23722,22211,24026,27247,28181,34193,24337,19333,20389,30641
Tanjung Balai Karimun,6636,8866,8747,8343,9468,7797,7339,7511,6876,7674,7515,9894
"Wisman Khusus (wisman lansia, rohaniawan, diklat, riset, dll)",-,-,-,-,-,-,-,-,-,-,-,-
Pos Lintas Batas (PLB),-,-,-,-,-,-,-,-,-,-,-,-
Lainnya,52759,50804,52983,42181,42667,37251,39799,40059,47429,36034,54907,51272
Total,724698,794302,792804,750999,794294,815307,815351,853244,870351,826196,777976,913828
